parameter,change_pct,annual_net_benefit
annual_applications,-30.0,21888.18011257035
annual_applications,0.0,38983.11444652907
annual_applications,30.0,56078.04878048782
manual_review_minutes,-30.0,-15016.88555347093
manual_review_minutes,0.0,38983.11444652907
manual_review_minutes,30.0,92983.11444652907
ai_assisted_review_minutes,-30.0,58800.0
ai_assisted_review_minutes,0.0,38983.11444652907
ai_assisted_review_minutes,30.0,19166.22889305814
underwriter_hourly_cost,-30.0,4799.999999999985
underwriter_hourly_cost,0.0,38983.11444652907
underwriter_hourly_cost,30.0,73166.22889305814
false_positive_cost,-30.0,44555.34709193243
false_positive_cost,0.0,38983.11444652907
false_positive_cost,30.0,33410.88180112571
false_negative_cost,-30.0,45061.913696060015
false_negative_cost,0.0,38983.11444652907
false_negative_cost,30.0,32904.315196998126
implementation_cost,-30.0,38983.11444652907
implementation_cost,0.0,38983.11444652907
implementation_cost,30.0,38983.11444652907
annual_maintenance_cost,-30.0,44383.11444652907
annual_maintenance_cost,0.0,38983.11444652907
annual_maintenance_cost,30.0,33583.11444652907
